date,meter_value
01-03-2016,19
01-03-2016,243
01-03-2016,37
01-03-2016,370
02-03-2016,27
02-03-2016,383
02-03-2016,104
02-03-2016,351
03-03-2016,60
03-03-2016,116
03-03-2016,26
03-03-2016,227
04-03-2016,25
04-03-2016,182
04-03-2016,43
04-03-2016,313
05-03-2016,108
05-03-2016,418
05-03-2016,99
05-03-2016,476
06-03-2016,132
06-03-2016,470
06-03-2016,122
06-03-2016,571
07-03-2016,75
07-03-2016,170
07-03-2016,29
07-03-2016,290
08-03-2016,71
08-03-2016,291
08-03-2016,41
08-03-2016,406
09-03-2016,45
09-03-2016,389
09-03-2016,232
09-03-2016,547
10-03-2016,0
10-03-2016,341
10-03-2016,14
10-03-2016,364
11-03-2016,0
11-03-2016,443
11-03-2016,139
11-03-2016,412
12-03-2016,0
12-03-2016,667
12-03-2016,19
12-03-2016,311
13-03-2016,0
13-03-2016,548
13-03-2016,106
13-03-2016,593
14-03-2016,133
14-03-2016,501
14-03-2016,9
14-03-2016,342
15-03-2016,77
15-03-2016,565
15-03-2016,26
15-03-2016,357
16-03-2016,79
16-03-2016,602
16-03-2016,231
16-03-2016,414
17-03-2016,25
17-03-2016,454
17-03-2016,12
17-03-2016,336
18-03-2016,32
18-03-2016,402
18-03-2016,26
18-03-2016,358
19-03-2016,63
19-03-2016,524
19-03-2016,100
19-03-2016,639
20-03-2016,120
20-03-2016,342
20-03-2016,7
20-03-2016,224
21-03-2016,179
21-03-2016,866
21-03-2016,58
21-03-2016,472
22-03-2016,92
22-03-2016,337
22-03-2016,39
22-03-2016,514
23-03-2016,9
23-03-2016,228
23-03-2016,20
23-03-2016,662
24-03-2016,0
24-03-2016,710
24-03-2016,0
24-03-2016,389
25-03-2016,0
25-03-2016,443
25-03-2016,0
25-03-2016,412
26-03-2016,0
26-03-2016,545
26-03-2016,0
26-03-2016,358
27-03-2016,13
27-03-2016,425
27-03-2016,1
27-03-2016,529
28-03-2016,253
28-03-2016,379
28-03-2016,0
28-03-2016,678
29-03-2016,82
29-03-2016,351
29-03-2016,0
29-03-2016,418
30-03-2016,84
30-03-2016,261
30-03-2016,0
30-03-2016,614
31-03-2016,92
31-03-2016,404
31-03-2016,0
31-03-2016,91
01-04-2016,128
01-04-2016,305
01-04-2016,0
01-04-2016,665
02-04-2016,118
02-04-2016,391
02-04-2016,0
02-04-2016,265
03-04-2016,43
03-04-2016,509
03-04-2016,9
03-04-2016,356
04-04-2016,63
04-04-2016,317
04-04-2016,68
04-04-2016,596
05-04-2016,62
05-04-2016,280
05-04-2016,91
05-04-2016,344
06-04-2016,67
06-04-2016,443
06-04-2016,57
06-04-2016,399
07-04-2016,162
07-04-2016,430
07-04-2016,81
07-04-2016,366
08-04-2016,34
08-04-2016,240
08-04-2016,79
08-04-2016,355
09-04-2016,101
09-04-2016,626
09-04-2016,0
09-04-2016,311
