date,meter_value
01-03-2016,114
02-03-2016,581
03-03-2016,599
04-03-2016,257
05-03-2016,493
06-03-2016,483
07-03-2016,389
08-03-2016,353
09-03-2016,450
10-03-2016,355
11-03-2016,524
12-03-2016,565
13-03-2016,466
14-03-2016,147
15-03-2016,580
16-03-2016,406
17-03-2016,555
18-03-2016,384
19-03-2016,207
20-03-2016,400
21-03-2016,558
22-03-2016,340
23-03-2016,286
24-03-2016,361
25-03-2016,0
26-03-2016,0
27-03-2016,266
28-03-2016,308
29-03-2016,396
30-03-2016,332
31-03-2016,319
01-04-2016,184
02-04-2016,473
03-04-2016,545
04-04-2016,616
05-04-2016,387
06-04-2016,211
07-04-2016,324
08-04-2016,333
09-04-2016,326
10-04-2016,409
11-04-2016,352
12-04-2016,364
13-04-2016,435
14-04-2016,506
15-04-2016,317
16-04-2016,430
17-04-2016,864
18-04-2016,214
19-04-2016,268
20-04-2016,357
21-04-2016,466
22-04-2016,304
23-04-2016,409
24-04-2016,435
25-04-2016,421
26-04-2016,501
27-04-2016,337
28-04-2016,301
29-04-2016,740
30-04-2016,418
01-05-2016,298
02-05-2016,432
03-05-2016,320
04-05-2016,429
05-05-2016,448
06-05-2016,394
07-05-2016,320
08-05-2016,547
09-05-2016,71
10-05-2016,395
11-05-2016,646
12-05-2016,315
13-05-2016,582
14-05-2016,547
15-05-2016,679
16-05-2016,251
17-05-2016,498
18-05-2016,241
19-05-2016,350
20-05-2016,367
21-05-2016,402
22-05-2016,595
23-05-2016,347
24-05-2016,178
25-05-2016,430
26-05-2016,717
27-05-2016,141
28-05-2016,477
29-05-2016,1050
30-05-2016,215
31-05-2016,397
01-06-2016,393
02-06-2016,303
03-06-2016,394
04-06-2016,469
05-06-2016,452
06-06-2016,410
07-06-2016,231
08-06-2016,386
09-06-2016,496
10-06-2016,144
11-06-2016,452
12-06-2016,499
13-06-2016,245
14-06-2016,216
15-06-2016,388
16-06-2016,192
17-06-2016,408
18-06-2016,205
19-06-2016,470
20-06-2016,255
21-06-2016,151
22-06-2016,181
23-06-2016,448
24-06-2016,394
25-06-2016,629
26-06-2016,675
27-06-2016,163
28-06-2016,464
29-06-2016,174
30-06-2016,339
01-07-2016,101
02-07-2016,831
03-07-2016,403
04-07-2016,257
05-07-2016,223
06-07-2016,269
07-07-2016,521
08-07-2016,116
09-07-2016,471
10-07-2016,670
11-07-2016,272
12-07-2016,238
13-07-2016,111
14-07-2016,246
